N; n;beta;a;b;psiu2;N; n;alpha;NSim;seed;u_i;e_i
30;5;0;2;0.4;1;30;5;0.05;1000;229743;N(0, 1);N(0, theta_i)
30;5;0;2;0.4;1;30;5;0.1;1000;60095;N(0, 1);N(0, theta_i)
30;5;0;2;0.4;1;30;5;0.15;1000;855367;N(0, 1);N(0, theta_i)
30;10;0;2;0.4;1;30;10;0.05;1000;163750076;N(0, 1);N(0, theta_i)
30;10;0;2;0.4;1;30;10;0.1;1000;124936029;N(0, 1);N(0, theta_i)
30;10;0;2;0.4;1;30;10;0.15;1000;131895904;N(0, 1);N(0, theta_i)
30;15;0;2;0.4;1;30;15;0.05;1000;181363638;N(0, 1);N(0, theta_i)
30;15;0;2;0.4;1;30;15;0.1;1000;171574749;N(0, 1);N(0, theta_i)
30;15;0;2;0.4;1;30;15;0.15;1000;198262598;N(0, 1);N(0, theta_i)
30;20;0;2;0.4;1;30;20;0.05;1000;124575170;N(0, 1);N(0, theta_i)
30;20;0;2;0.4;1;30;20;0.1;1000;161736023;N(0, 1);N(0, theta_i)
30;20;0;2;0.4;1;30;20;0.15;1000;151524127;N(0, 1);N(0, theta_i)
50;5;0;2;0.4;1;50;5;0.05;1000;120937660;N(0, 1);N(0, theta_i)
50;5;0;2;0.4;1;50;5;0.1;1000;228195755;N(0, 1);N(0, theta_i)
50;5;0;2;0.4;1;50;5;0.15;1000;187008931;N(0, 1);N(0, theta_i)
50;10;0;2;0.4;1;50;10;0.05;1000;145911169;N(0, 1);N(0, theta_i)
50;10;0;2;0.4;1;50;10;0.1;1000;426257999;N(0, 1);N(0, theta_i)
50;10;0;2;0.4;1;50;10;0.15;1000;255942571;N(0, 1);N(0, theta_i)
50;15;0;2;0.4;1;50;15;0.05;1000;188933291;N(0, 1);N(0, theta_i)
50;15;0;2;0.4;1;50;15;0.1;1000;148791667;N(0, 1);N(0, theta_i)
50;15;0;2;0.4;1;50;15;0.15;1000;298863816;N(0, 1);N(0, theta_i)
50;20;0;2;0.4;1;50;20;0.05;1000;146243901;N(0, 1);N(0, theta_i)
50;20;0;2;0.4;1;50;20;0.1;1000;129153281;N(0, 1);N(0, theta_i)
50;20;0;2;0.4;1;50;20;0.15;1000;230894873;N(0, 1);N(0, theta_i)
30;10;0;2;0.8;1;30;10;0.05;1000;196755906;N(0, 1);N(0, theta_i)
30;10;0;2;1.6;1;30;10;0.05;1000;567589;N(0, 1);N(0, theta_i)
30;10;0;2.4;0.4;1;30;10;0.05;1000;462504896;N(0, 1);N(0, theta_i)
30;10;0;2.4;0.8;1;30;10;0.05;1000;265143051;N(0, 1);N(0, theta_i)
30;10;0;2.4;1.6;1;30;10;0.05;1000;169921664;N(0, 1);N(0, theta_i)
30;10;0;2.8;0.4;1;30;10;0.05;1000;462401890;N(0, 1);N(0, theta_i)
30;10;0;2.8;0.8;1;30;10;0.05;1000;431083419;N(0, 1);N(0, theta_i)
30;10;0;2.8;1.6;1;30;10;0.05;1000;118501057;N(0, 1);N(0, theta_i)
30;5;0;2;0.4;4;30;5;0.05;1000;531023246;scaled_chisq(4);N(0, theta_i)
30;5;0;2;0.4;4;30;5;0.1;1000;317988390;scaled_chisq(4);N(0, theta_i)
30;5;0;2;0.4;4;30;5;0.15;1000;667596795;scaled_chisq(4);N(0, theta_i)
30;10;0;2;0.4;4;30;10;0.05;1000;422483205;scaled_chisq(4);N(0, theta_i)
30;10;0;2;0.4;4;30;10;0.1;1000;440180258;scaled_chisq(4);N(0, theta_i)
30;10;0;2;0.4;4;30;10;0.15;1000;706406399;scaled_chisq(4);N(0, theta_i)
30;15;0;2;0.4;4;30;15;0.05;1000;302836784;scaled_chisq(4);N(0, theta_i)
30;15;0;2;0.4;4;30;15;0.1;1000;358092952;scaled_chisq(4);N(0, theta_i)
30;15;0;2;0.4;4;30;15;0.15;1000;698271082;scaled_chisq(4);N(0, theta_i)
30;20;0;2;0.4;4;30;20;0.05;1000;620592190;scaled_chisq(4);N(0, theta_i)
30;20;0;2;0.4;4;30;20;0.1;1000;313374141;scaled_chisq(4);N(0, theta_i)
30;20;0;2;0.4;4;30;20;0.15;1000;527521155;scaled_chisq(4);N(0, theta_i)
50;5;0;2;0.4;4;50;5;0.05;1000;688905057;scaled_chisq(4);N(0, theta_i)
50;5;0;2;0.4;4;50;5;0.1;1000;453484589;scaled_chisq(4);N(0, theta_i)
50;5;0;2;0.4;4;50;5;0.15;1000;799678141;scaled_chisq(4);N(0, theta_i)
50;10;0;2;0.4;4;50;10;0.05;1000;544914197;scaled_chisq(4);N(0, theta_i)
50;10;0;2;0.4;4;50;10;0.1;1000;683256723;scaled_chisq(4);N(0, theta_i)
50;10;0;2;0.4;4;50;10;0.15;1000;543509709;scaled_chisq(4);N(0, theta_i)
50;15;0;2;0.4;4;50;15;0.05;1000;491801903;scaled_chisq(4);N(0, theta_i)
50;15;0;2;0.4;4;50;15;0.1;1000;738785378;scaled_chisq(4);N(0, theta_i)
50;15;0;2;0.4;4;50;15;0.15;1000;248687668;scaled_chisq(4);N(0, theta_i)
50;20;0;2;0.4;4;50;20;0.05;1000;759325759;scaled_chisq(4);N(0, theta_i)
50;20;0;2;0.4;4;50;20;0.1;1000;352815570;scaled_chisq(4);N(0, theta_i)
50;20;0;2;0.4;4;50;20;0.15;1000;453935825;scaled_chisq(4);N(0, theta_i)
30;5;0;2;0.4;1;30;5;0.05;1000;399099643;N(0, 1);t(3)
30;5;0;2;0.4;1;30;5;0.1;1000;673648141;N(0, 1);t(3)
30;5;0;2;0.4;1;30;5;0.15;1000;230531848;N(0, 1);t(3)
30;10;0;2;0.4;1;30;10;0.05;1000;340123152;N(0, 1);t(3)
30;10;0;2;0.4;1;30;10;0.1;1000;318117671;N(0, 1);t(3)
30;10;0;2;0.4;1;30;10;0.15;1000;346919406;N(0, 1);t(3)
30;15;0;2;0.4;1;30;15;0.05;1000;776631036;N(0, 1);t(3)
30;15;0;2;0.4;1;30;15;0.1;1000;523410064;N(0, 1);t(3)
30;15;0;2;0.4;1;30;15;0.15;1000;460900994;N(0, 1);t(3)
30;20;0;2;0.4;1;30;20;0.05;1000;773808393;N(0, 1);t(3)
30;20;0;2;0.4;1;30;20;0.1;1000;564004748;N(0, 1);t(3)
30;20;0;2;0.4;1;30;20;0.15;1000;236176206;N(0, 1);t(3)
50;5;0;2;0.4;1;50;5;0.05;1000;299052037;N(0, 1);t(3)
50;5;0;2;0.4;1;50;5;0.1;1000;515414485;N(0, 1);t(3)
50;5;0;2;0.4;1;50;5;0.15;1000;438010316;N(0, 1);t(3)
50;10;0;2;0.4;1;50;10;0.05;1000;727613871;N(0, 1);t(3)
50;10;0;2;0.4;1;50;10;0.1;1000;322256666;N(0, 1);t(3)
50;10;0;2;0.4;1;50;10;0.15;1000;570549779;N(0, 1);t(3)
50;15;0;2;0.4;1;50;15;0.05;1000;517680202;N(0, 1);t(3)
50;15;0;2;0.4;1;50;15;0.1;1000;736502065;N(0, 1);t(3)
50;15;0;2;0.4;1;50;15;0.15;1000;354037872;N(0, 1);t(3)
50;20;0;2;0.4;1;50;20;0.05;1000;296880868;N(0, 1);t(3)
50;20;0;2;0.4;1;50;20;0.1;1000;237978728;N(0, 1);t(3)
50;20;0;2;0.4;1;50;20;0.15;1000;426607073;N(0, 1);t(3)
